Loading parameters

Initial system energy
-42776.47783422754 kJ/mol

Energy minimization: 5000 steps
-42776.913315034064 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
80.8%	101000	101.0000000001182	-33754.6309370817	304.66524283474513	325	0:06
81.6%	102000	102.00000000012298	-34145.83158997708	304.04538998727656	325	0:06
82.4%	103000	103.00000000012776	-34060.84066037294	307.1609842676216	325	0:05
83.2%	104000	104.00000000013253	-34307.42408869976	299.0689892139333	325	0:05
84.0%	105000	105.0000000001373	-34394.73596336089	301.5743433271528	325	0:05
84.8%	106000	106.00000000014208	-34184.81557118727	302.5709926829517	325	0:05
85.6%	107000	107.00000000014685	-33937.98839413628	290.76957299738353	325	0:04
86.4%	108000	108.00000000015163	-34024.197783891505	307.3320817366737	325	0:04
87.2%	109000	109.0000000001564	-33850.84587503073	299.2720930740513	325	0:04
88.0%	110000	110.00000000016118	-34169.74952402362	304.0534170840838	325	0:03
88.8%	111000	111.00000000016595	-34096.967528334964	294.5656363229549	326	0:03
89.6%	112000	112.00000000017073	-34039.94383197473	301.5641299414275	326	0:03
90.4%	113000	113.0000000001755	-33973.68106149	296.0838113345804	327	0:03
91.2%	114000	114.00000000018028	-34281.85708264334	295.12373755344936	327	0:02
92.0%	115000	115.00000000018505	-34264.4247272144	302.12653353638404	327	0:02
92.8%	116000	116.00000000018983	-34318.92995149395	304.6691940344324	327	0:02
93.6%	117000	117.0000000001946	-34248.450396733286	300.8568229086625	327	0:02
94.4%	118000	118.00000000019938	-34227.232056900175	302.0559501317985	327	0:01
95.2%	119000	119.00000000020415	-34101.85683904316	308.6369134348415	327	0:01
96.0%	120000	120.00000000020893	-34399.66327824029	308.7403877276735	327	0:01
96.8%	121000	121.0000000002137	-34076.413332906115	298.16556017463034	327	0:01
97.6%	122000	122.00000000021848	-34179.37911227018	307.41963846702566	327	0:00
98.4%	123000	123.00000000022325	-34243.38241167102	297.1778172406447	327	0:00
99.2%	124000	124.00000000022803	-34287.97773274555	307.7527363920056	327	0:00
100.0%	125000	125.0000000002328	-33993.0694189715	295.4699318142522	327	0:00
